iso3,scc,oc_capital,valuation
CRI,0.0015095970209999929,Corals,Non-market use value
CRI,0.006052382645506019,Corals,Nonuse value
CRI,0.0004540160830432211,Fisheries,Market value
CRI,0.008943083677232613,Fisheries,Non-market use value
CRI,2.4541946796720856e-05,Mangroves,Market value
CRI,0.00023413237027382057,Mangroves,Non-market use value
CRI,0.000848714894142407,Mangroves,Nonuse value
CRI,0.0016049450802990996,Ports,Market value
CRI,0.019692846498654947,Total,Total
CYP,-1.7425026594212773e-10,Corals,Market value
CYP,-1.7137264619320138e-10,Corals,Non-market use value
CYP,-1.7137264619320138e-10,Corals,Nonuse value
CYP,7.353007046899987e-05,Fisheries,Market value
CYP,0.006145928869461988,Fisheries,Non-market use value
CYP,-1.7425026594212773e-10,Mangroves,Market value
CYP,-1.7137264619320138e-10,Mangroves,Non-market use value
CYP,-1.7137264619320138e-10,Mangroves,Nonuse value
CYP,0.00020683226313187043,Ports,Market value
CYP,0.006426291639076567,Total,Total
CZE,3.7745252197044884e-10,Corals,Market value
CZE,3.7745252197044884e-10,Corals,Non-market use value
CZE,3.7745252197044884e-10,Corals,Nonuse value
CZE,3.7745252197044884e-10,Fisheries,Market value
CZE,3.7745252197044884e-10,Fisheries,Non-market use value
CZE,3.7745252197044884e-10,Mangroves,Market value
CZE,3.7745252197044884e-10,Mangroves,Non-market use value
CZE,3.7745252197044884e-10,Mangroves,Nonuse value
CZE,3.7745252197044884e-10,Ports,Market value
CZE,-0.0,Total,Total
DEU,-1.1398197747408742e-08,Corals,Market value
DEU,-1.0807935032736353e-08,Corals,Non-market use value
DEU,-1.0807935032736353e-08,Corals,Nonuse value
DEU,6.0186221331554703e-05,Fisheries,Market value
DEU,0.4569534074397199,Fisheries,Non-market use value
DEU,-1.1398197747408742e-08,Mangroves,Market value
DEU,-1.0807935032736353e-08,Mangroves,Non-market use value
DEU,-1.0807935032736353e-08,Mangroves,Nonuse value
DEU,0.055918705300005034,Ports,Market value
DEU,0.5129323243214471,Total,Total
DJI,0.0001356959490037405,Corals,Market value
DJI,0.0005032944794637421,Corals,Non-market use value
DJI,0.0014929790532487897,Corals,Nonuse value
DJI,8.252153494329702e-06,Fisheries,Market value
