"","countrycode","year","unit_benefit","use_market_perkm2","use_nonmarket_perkm2","nonuse_perkm2"
"4560","MYS",2040,"Int2020$_perkm2_peryear",5114077.32756613,217345.736568783,226220.637113391
"4561","MYS",2041,"Int2020$_perkm2_peryear",5159737.38703775,218482.366879092,230273.553346462
"4562","MYS",2042,"Int2020$_perkm2_peryear",5205833.16449066,219625.158426286,234402.198282564
"4563","MYS",2043,"Int2020$_perkm2_peryear",5252369.05882382,220774.145738744,238608.03300384
"4564","MYS",2044,"Int2020$_perkm2_peryear",5299349.51536646,221929.363544171,242892.547447055
"4565","MYS",2045,"Int2020$_perkm2_peryear",5346779.02638496,223090.846770779,247257.260982942
"4566","MYS",2046,"Int2020$_perkm2_peryear",5391902.16369109,224241.293847785,251717.404873203
"4567","MYS",2047,"Int2020$_perkm2_peryear",5437430.64791938,225397.872191862,256262.081802073
"4568","MYS",2048,"Int2020$_perkm2_peryear",5483368.3176499,226560.615446791,260892.951509923
"4569","MYS",2049,"Int2020$_perkm2_peryear",5529719.04936227,227729.557445699,265611.707110661
"4570","MYS",2050,"Int2020$_perkm2_peryear",5576486.75782185,228904.732212149,270420.075773378
"4571","MYS",2051,"Int2020$_perkm2_peryear",5622999.3306482,230115.084954643,275576.01655763
"4572","MYS",2052,"Int2020$_perkm2_peryear",5669919.6109465,231331.997778404,280833.968973193
"4573","MYS",2053,"Int2020$_perkm2_peryear",5717251.32853744,232555.507024017,286196.008255085
"4574","MYS",2054,"Int2020$_perkm2_peryear",5764998.2485759,233785.649237257,291664.252705031
"4575","MYS",2055,"Int2020$_perkm2_peryear",5813164.17189498,235022.461170271,297240.864597708
"4576","MYS",2056,"Int2020$_perkm2_peryear",5859686.98326153,236251.454604346,302982.560796519
"4577","MYS",2057,"Int2020$_perkm2_peryear",5906599.55075061,237487.017205886,308838.902133852
"4578","MYS",2058,"Int2020$_perkm2_peryear",5953905.27015269,238729.184769241,314812.235912764
"4579","MYS",2059,"Int2020$_perkm2_peryear",6001607.5678076,239977.993287093,320904.958380328
"4580","MYS",2060,"Int2020$_perkm2_peryear",6049709.90088644,241233.478951573,327119.515761435
"4581","MYS",2061,"Int2020$_perkm2_peryear",6096802.14308191,242503.943028451,333661.075081168
"4582","MYS",2062,"Int2020$_perkm2_peryear",6144277.16095199,243781.232665605,340337.173363491
"4583","MYS",2063,"Int2020$_perkm2_peryear",6192138.17939778,245065.385168099,347150.638806045
"4584","MYS",2064,"Int2020$_perkm2_peryear",6240388.45127844,246356.438047919,354104.360043975
"4585","MYS",2065,"Int2020$_perkm2_peryear",6289031.25765914,247654.429025136,361201.287457149
"4586","MYS",2066,"Int2020$_perkm2_peryear",6330930.77787734,248797.146330846,367747.242665213
"4587","MYS",2067,"Int2020$_perkm2_peryear",6373120.26999814,249945.215236133,374413.581805208
"4588","MYS",2068,"Int2020$_perkm2_peryear",6415601.80782925,251098.661150962,381202.546826906
"4589","MYS",2069,"Int2020$_perkm2_peryear",6458377.48041742,252257.509607484,388116.421876394
"4590","MYS",2070,"Int2020$_perkm2_peryear",6501449.39216284,253421.786260624,395157.534097239
"4591","MYS",2071,"Int2020$_perkm2_peryear",6544026.25941973,254618.5961335,402674.767751821
"4592","MYS",2072,"Int2020$_perkm2_peryear",6586891.90402685,255821.129168069,410336.64488834
"4593","MYS",2073,"Int2020$_perkm2_peryear",6630048.34367859,257029.413049088,418145.976799962
"4594","MYS",2074,"Int2020$_perkm2_peryear",6673497.61051417,258243.475596655,426105.62989951
"4595","MYS",2075,"Int2020$_perkm2_peryear",6717241.75122312,259463.344766874,434218.526808305
"4596","MYS",2076,"Int2020$_perkm2_peryear",6754942.84456879,260561.185524525,441901.140473157
"4597","MYS",2077,"Int2020$_perkm2_peryear",6792861.53612794,261663.709159968,449720.348241289
"4598","MYS",2078,"Int2020$_perkm2_peryear",6830999.11289967,262770.935803482,457678.589843136
"4599","MYS",2079,"Int2020$_perkm2_peryear",6869356.86965473,263882.885672522,465778.348771402
"4600","MYS",2080,"Int2020$_perkm2_peryear",6907936.10898323,264999.579072101,474022.153069122
"4601","MYS",2081,"Int2020$_perkm2_peryear",6947330.23420963,266185.477270905,482999.621555256
"4602","MYS",2082,"Int2020$_perkm2_peryear",6986955.39734028,267376.725645025,492148.129266189
"4603","MYS",2083,"Int2020$_perkm2_peryear",7026812.98441745,268573.348509132,501470.952933003
"4604","MYS",2084,"Int2020$_perkm2_peryear",7066904.38994952,269775.37028913,510971.43238294
"4605","MYS",2085,"Int2020$_perkm2_peryear",7107231.01696342,270982.815522671,520652.971760091
"4606","MYS",2086,"Int2020$_perkm2_peryear",7143052.83315436,272112.67376387,530134.869419932
"4607","MYS",2087,"Int2020$_perkm2_peryear",7179060.14219405,273247.273460592,539790.037700564
"4608","MYS",2088,"Int2020$_perkm2_peryear",7215253.92578474,274386.634628062,549621.653231141
"4609","MYS",2089,"Int2020$_perkm2_peryear",7251635.17091445,275530.777366447,559632.951059027
"4610","MYS",2090,"Int2020$_perkm2_peryear",7288204.8698858,276679.721861225,569827.225727251
"4611","MYS",2091,"Int2020$_perkm2_peryear",7327024.54626537,277924.154305036,581079.989537661
"4612","MYS",2092,"Int2020$_perkm2_peryear",7366056.4349314,279174.216349181,592555.787173783
