"","ISO3","HealthBenefit_PercentageGDP_intercept","HealthBenefit_PercentageGDP_intercept_se","HealthBenefit_PercentageGDP_perDegreeC","HealthBenefit_PercentageGDP_perDegreeC_se"
"89","PRT",1.77194619991083,0.191233018128425,-0.123349428584537,0.0188918947405957
"90","ROU",0.88242202387767,0.0998036109267498,-0.024210367580392,0.00365826291099553
"91","RUS",2.44199739318735,0.296321664835478,0.113251782162285,0.0178375171387389
"92","SAU",0.482815849683878,0.0615638679616066,0.0692310659136595,0.00617575084414545
"93","SDN",0.0337423391175055,0.00309357579036785,-0.00690013509889772,0.000469663530325323
"94","SEN",43.2290186035992,4.15638069826465,-8.88096094362346,0.806104036925313
"95","SLB",55.6877780204749,5.28133610025025,-14.0348744689791,0.69290638124925
"96","SLE",127.69002106913,11.5440126495067,-34.1426111228837,2.17413165122062
"97","SLV",2.24500892595035,0.218967301200462,-0.309554295940929,0.0196107073205061
"98","SUR",3.82950249487027,0.403487384331197,-0.115914809188764,0.00805221821286639
"99","SVN",0.820918103036775,0.0995137535213254,0.063880357141121,0.0110304385119285
"100","SWE",0.522555992139778,0.0659187313660001,0.0574012597264732,0.00720430784542741
"101","TGO",88.9279268584536,8.49571423504515,-21.9892109072341,1.80118999315509
"102","THA",7.48844421961449,0.752575362180683,-0.882854825722266,0.048813401557112
"103","TLS",6.08955533322042,0.565652900146582,-2.2710855518405,0.137987373865958
"104","TTO",3.66671196791184,0.490901166646824,0.770253617741042,0.0612656503709907
"105","TUN",5.89372097423581,0.572955214954736,-0.935499351435491,0.0390318244914371
"106","TUR",1.14571494911824,0.121583872900583,-0.0593400437506323,0.00803862307758704
"107","TZA",1.0016860887768,0.0960412314368736,-0.199701386395823,0.0164778102425255
"108","UKR",1.13535367810416,0.127337816209342,-0.119572482756868,0.0109080522789588
"109","URY",0.346259659229658,0.0377408018738089,-0.00251694017225684,0.00107740501250801
"110","USA",0.403393927489515,0.0507181704080697,0.0556005279379913,0.00586858990707493
"111","VCT",4.21162618247312,0.440772297506252,-0.239527870257327,0.0220900216385239
"112","VEN",1.10622399266422,0.114778753345654,-0.0417213562911269,0.0043300240913454
"113","VNM",8.70715201493411,0.872812734852673,-2.08134106201392,0.110014907655528
"114","VUT",15.7822520322806,1.55443279607454,-2.15394349496603,0.0965991749715796
"115","WSM",12.4110065899687,1.23268035563411,-1.87482346570676,0.0756491081136992
"116","YEM",1.16307424420086,0.107729509763312,-0.365820809907934,0.0274448765646653
"117","ZAF",1.48274463751286,0.141535546307993,-0.235131575282182,0.00739707695861781
